Title,Authors
Hyperon suppression in hadron-quark mixed phase,"Toshiki Maruyama, Satoshi Chiba, Hans-Josef Schulze, Toshitaka Tatsumi"
Metal-insulator transition and electroresistance in lanthanum/calcium manganites La_<1-x>Ca_<x>MnO_<3> (x = 0-0.5) from voltage-current-temperature surfaces,"J C Knott, D C Pond, R A Lewis"
Reduktionssysteme zur Berechnung einer Auflösung der orthogonalen freien Quantengruppen $A_o(n)$,Dr. Johannes Härtel
Casimir force: an alternative treatment,P. R. Silva
Introduction to representation theory,"Pavel Etingof, Oleg Golberg, Sebastian Hensel, Tiankai Liu, Alex Schwendner, Dmitry Vaintrob, Elena Yudovina"
Termination of typical wavefunction multifractal spectra at the Anderson metal-insulator transition: Field theory description using the functional renormalization group,"Matthew S. Foster, Shinsei Ryu, Andreas W. W. Ludwig"
New Kinds of Quantum Statistics,Frank Wilczek
Running Inflation in the Standard Model,"Andrea De Simone, Mark P. Hertzberg, Frank Wilczek"
Mass Ejection by Strange Star Mergers and Observational Implications,"A. Bauswein, H. -Th. Janka, R. Oechslin, G. Pagliara, I. Sagert, J. Schaffner-Bielich, M. M. Hohle, R. Neuhaeuser"
Graviton and Scalar Two-Point Functions in a CDL Background for General Dimensions,Daniel S. Park
AdS/CFT aspects of the cosmological QCD phase transition,Cong-Xin Qiu
Face Detection Using Adaboosted SVM-Based Component Classifier,"Seyyed Majid Valiollahzadeh, Abolghasem Sayadiyan, Mohammad Nazari"
A purely algebraic construction of a gauge and renormalization group invariant scalar glueball operator,"D. Dudal, S. P. Sorella, N. Vandersickel, H. Verschelde"
Theoretische Modellierung granularer Stroeme in duennen RoehrenmitLangevin-Gleichungen,T. L. Riethmueller
Stability window and mass-radius relation for magnetized strange quark stars,"R. Gonzalez Felipe, A. Perez Martinez"
1/N Effects in Non-Relativistic Gauge-Gravity Duality,"Allan Adams, Alexander Maloney, Aninda Sinha, Samuel E. Vazquez"
Nonperturbative m_X cut effects in B -> Xs l+ l- observables,"Keith S. M. Lee, Frank J. Tackmann"
Phase conversion in a weakly first-order quark-hadron transition,"A. Bessa, E. S. Fraga, B. W. Mintz"
Color-flavor locked strange matter and strangelets at finite temperature,"L. Paulucci, J. E. Horvath"
Proof of the MHV vertex expansion for all tree amplitudes in N=4 SYM theory,"Henriette Elvang, Daniel Z. Freedman, Michael Kiermaier"
Das asymptotische Verhalten der Grundzustandsenergie des Muellerfunktionals fuer schwere Atome,Heinz Siedentop
Mott transition between a spin-liquid insulator and a metal in three dimensions,"Daniel Podolsky, Arun Paramekanti, Yong Baek Kim, T. Senthil"
Elongated Fermi superfluid: absence of critical imbalance enhancement at equilibrium,"Masaki Tezuka, Youichi Yanase, Masahito Ueda"
Casimir interaction among heavy fermions in the BCS-BEC crossover,Yusuke Nishida
Model calculations of the Sivers function satisfying the Burkardt Sum Rule,"A. Courtoy, S. Scopetta, V. Vento"
A Bohr-Sommerfeld quantization formula for quasinormal frequencies of AdS black holes,"Guido Festuccia, Hong Liu"
Modell zur Entstehung eines Rings aus Dunkler Materie in der Milchstraßenebene,Raphaël Errani
Determination of the neutron star mass-radii relation using narrow-band gravitational wave detector,"C. H. Lenzi, M. Malheiro, R. M. Marinho, C. Providência, G. F. Marranghello"
"Measurement of the Partial Cross Sections s(TT), s(LT) and [s(T)+epsilon*s(L)] of the p(e,e' pi+)n Reaction in the Delta(1232) Resonance","J. M. Kirkpatrick, N. F. Sparveris"
Structure of Neutron Star with a Quark Core,"G. H. Bordbar, M. Bigdeli, T. Yazdizadeh"
A Variational Study of the Nucleon Wavefunction,"Jonathan Bratt, J. W. Negele"
Aspects of Precision Calculations of Nucleon Generalized Form Factors with Domain Wall Fermions on an Asqtad Sea,"J. D. Bratt, R. G. Edwards, M. Engelhardt, G. T. Fleming, Ph. Hagler, M. F. Lin, H. B. Meyer, B. Musch, J. W. Negele, K. Orginos, A. V. Pochinsky, M. Procura, D. B. Renner, D. G. Richards, W. Schroers, S. Syritsyn"
The boundary state from open string fields,"Michael Kiermaier, Yuji Okawa, Barton Zwiebach"
Induced p-wave superfluidity in two dimensions: Brane world in cold atoms and nonrelativistic defect CFTs,Yusuke Nishida
Berry Phase and Supersymmetry,"Julian Sonner, David Tong"
Dynamical stability of strange quark stars,P. S. Negi
Energy-momentum tensor correlators and viscosity,Harvey B. Meyer
Holographic Description of AdS_2 Black Holes,"Alejandra Castro, Daniel Grumiller, Finn Larsen, Robert McNees"
Signals of the QCD phase transition in core-collapse supernovae,"I. Sagert, M. Hempel, G. Pagliara, J. Schaffner-Bielich, T. Fischer, A. Mezzacappa, F. -K. Thielemann, M. Liebendörfer"
First order metal-insulator transision in band overlap mechanism,"Takao Kotani, Rei Sakuma"
Universality of the hydrodynamic limit in AdS/CFT and the membrane paradigm,"Nabil Iqbal, Hong Liu"
Non-Abelian Berry Phases and BPS Monopoles,"Julian Sonner, David Tong"
Stirring Strongly Coupled Plasma,"Kazem Bitaghsir Fadafan, Hong Liu, Krishna Rajagopal, Urs Achim Wiedemann"
Quantum Computation Beyond the Circuit Model,Stephen P. Jordan
The SU(2) X U(1) Electroweak Model based on the Nonlinearly Realized Gauge Group. II. Functional Equations and the Weak Power-Counting,"Daniele Bettinelli, Ruggero Ferrari, Andrea Quadri"
Quark Masses: An Environmental Impact Statement,"Robert L. Jaffe, Alejandro Jenkins, Itamar Kimchi"
Brane Tilings and M2 Branes,"Amihay Hanany, David Vegh, Alberto Zaffaroni"
Reparameterization Invariant Collinear Operators,"Claudio Marcantonini, Iain W. Stewart"
Fermionic vacuum polarization by a cylindrical boundary in the cosmic string spacetime,"E. R. Bezerra de Mello, V. B. Bezerra, A. A. Saharian, A. S. Tarloyan"
A Computational Study of Genetic Crossover Operators for Multi-Objective Vehicle Routing Problem with Soft Time Windows,Martin Josef Geiger
Phase transition from quark-meson coupling hyperonic matter to deconfined quark matter,"J. D. Carroll, D. B. Leinweber, A. W. Thomas, A. G. Williams"
The Chiral Anomaly in SCET,Wouter J. Waalewijn
Boltzmann brains and the scale-factor cutoff measure of the multiverse,"Andrea De Simone, Alan H. Guth, Andrei Linde, Mahdiyar Noorbala, Michael P. Salem, Alexander Vilenkin"
The effects of Gribov copies in 2D gauge theories,"D. Dudal, S. P. Sorella, N. Vandersickel, H. Verschelde"
Glueball matrix elements: a lattice calculation and applications,Harvey B. Meyer
Consistent boundary conditions for cosmological topologically massive gravity at the chiral point,"Daniel Grumiller, Niklas Johansson"
Local Hamiltonians in Quantum Computation,Daniel Nagaj
Constraining Gravitational and Cosmological Parameters with Astrophysical Data,Yi Mao
"Low-scale gaugino mediation, lots of leptons at the LHC","Andrea De Simone, JiJi Fan, Martin Schmaltz, Witold Skiba"
Semi-Flatland,"David Vegh, John McGreevy"
Persistence of zero modes in a gauged Dirac model for bilayer graphene,"R. Jackiw, S. -Y. Pi"
One-Loop Multi-Parton Amplitudes with a Vector Boson for the LHC,"C. F. Berger, Z. Bern, L. J. Dixon, F. Febres Cordero, D. Forde, H. Ita, D. A. Kosower, D. Maitre"
Electronic Griffiths phase of the d=2 Mott transition,"E. C. Andrade, E. Miranda, V. Dobrosavljevic"
The Landau gauge gluon and ghost propagator in the refined Gribov-Zwanziger framework in 3 dimensions,"D. Dudal, J. A. Gracey, S. P. Sorella, N. Vandersickel, H. Verschelde"
A Conversation with Peter Huber,"Andreas Buja, Hans R. Künsch"
Top Mass Measurements from Jets and the Tevatron Top-Quark Mass,"Andre H. Hoang, Iain W. Stewart"
Particle Physics in the Sky and Astrophysics Underground: Connecting the Universe's Largest and Smallest Scales,Molly E. C. Swanson
"Counting on Beauty: The role of aesthetic, ethical, and physical universal principles for interstellar communication",Guillermo A. Lemarchand
One-Loop Calculations with BlackHat,"C. F. Berger, Z. Bern, L. J. Dixon, F. Febres Cordero, D. Forde, H. Ita, D. A. Kosower, D. Maitre"
Fine-Tuning in DBI Inflationary Mechanism,Xingang Chen
"Comment on ""Electronic structure and orbital ordering of SrRu$_{1-x}$Ti$_x$O$_3$: GGA+U investigations""",Kalobaran Maiti
Multifractal analysis of the metal-insulator transition in the 3D Anderson model I: Symmetry relation under typical averaging,"Louella J. Vasquez, Alberto Rodriguez, Rudolf A. Roemer"
Multifractal analysis of the metal-insulator transition in the 3D Anderson model II: Symmetry relation under ensemble averaging,"Alberto Rodriguez, Louella J. Vasquez, Rudolf A. Roemer"
Treating the b quark distribution function with reliable uncertainties,"Zoltan Ligeti, Iain W. Stewart, Frank J. Tackmann"
Axion Cosmology and the Energy Scale of Inflation,"Mark P Hertzberg, Max Tegmark, Frank Wilczek"
Study of the Hubbard model on the triangular lattice using dynamical cluster approximation and dual fermion methods,"Hunpyo Lee, Gang Li, Hartmut Monien"
Hot Spacetimes for Cold Atoms,"Allan Adams, Koushik Balasubramanian, John McGreevy"
The number density of a charged relic,"Carola F. Berger, Laura Covi, Sabine Kraml, Federica Palorini"
Meson widths from string worldsheet instantons,"Thomas Faulkner, Hong Liu"
Light hadron spectroscopy using domain wall valence quarks on an Asqtad sea,"Andre Walker-Loud, Huey-Wen Lin, Kostas Orginos, D. G. Richards, R. G. Edwards, M. Engelhardt, G. T. Flemming, Ph. Hagler, B. Musch, M. F. Lin, Harvey B. Meyer, John W. Negele, A. V. Pochinsky, Massimiliano Procura, Sergey Syritsyn, C. J. Morningstar, D. B. Renner, W. Schroers"
Canonical analysis of cosmological topologically massive gravity at the chiral point,"D. Grumiller, R. Jackiw, N. Johansson"
Energy-momentum tensor correlators and spectral functions,Harvey B. Meyer
Structure of the string R-matrix,Alessandro Torrielli
Magnetic moment of hyperons in nuclear matter by using quark-meson coupling models,"C. Y. Ryu, C. H. Hyun, T. -S. Park, S. W. Hong"
Ueber die Geometrie der alten Aegypter,Emil Weyr
Planar scattering amplitudes from Wilson loops,"John McGreevy, Amit Sever"
Properties of Nucleon Resonances by means of a Genetic Algorithm,"C. Fernandez-Ramirez, E. Moya de Guerra, A. Udias, J. M. Udias"
Model Independent Search For New Physics At The Tevatron,Georgios Choudalakis
One-Loop Riemann Surfaces in Schnabl Gauge,"Michael Kiermaier, Barton Zwiebach"
Instability in cosmological topologically massive gravity at the chiral point,"Daniel Grumiller, Niklas Johansson"
Quantum Boltzmann equations in resonant leptogenesis,Andrea De Simone
Predicting the cosmological constant with the scale-factor cutoff measure,"Andrea De Simone, Alan H. Guth, Michael P. Salem, Alexander Vilenkin"
"Spin asymmetry for the 16O(gamma,pi- p) reaction in the Delta(1232) region within an effective Lagrangian approach","C. Fernandez-Ramirez, M. C. Martinez, J. R. Vignote, J. M. Udias"
"""Latent heat"" of first-order varying pressure transitions","Zheng Xiaoping, Zhang Li, Zhou Xia, Kang Miao"
Scaling test of two-flavor O(a)-improved lattice QCD,"Michele Della Morte, Patrick Fritzsch, Harvey B. Meyer, Hubert Simma, Rainer Sommer, Shinji Takeda, Oliver Witzel, Ulli Wolff"
Quark-meson coupling model for antikaon condensation in neutron star matter with strong magnetic fields,"P. Yue, H. Shen"
Switching of the Mott transition based on the hole-drivenMITtheory,"Hyun-Tak Kim, Bong-Jun Kim, Yong Wook Lee, Byung-Gyu Chae, Sun Jin Yun"
Astrophysical Implications of Equation of State for Hadron-Quark Mixed Phase: Compact Stars and Stellar Collapses,"Ken'ichiro Nakazato, Kohsuke Sumiyoshi, Shoichi Yamada"
The role of interactions in spin-polarised atomic Fermi gases at unitarity,"A. Recati, C. Lobo, S. Stringari"
Chiral symmetry and the axial nucleon to Delta(1232) transition form factors,Massimiliano Procura
Infrared Renormalization Group Flow for Heavy Quark Masses,"Andre H. Hoang, Ambar Jain, Ignazio Scimemi, Iain W. Stewart"
An Automated Implementation of On-Shell Methods for One-Loop Amplitudes,"C. F. Berger, Z. Bern, L. J. Dixon, F. Febres Cordero, D. Forde, H. Ita, D. A. Kosower, D. Maitre"
"QCD sum rules for rho mesons in vacuum and in-medium, re-examined","Youngshin Kwon, Massimiliano Procura, Wolfram Weise"
On the collision of two shock waves in AdS5,"Daniel Grumiller, Paul Romatschke"
Robustness and Infrared Sensitivity of Various Observables in the Application of AdS/CFT to Heavy Ion Collisions,"Hong Liu, Krishna Rajagopal, Yeming Shi"
On Drinfeld's second realization of the AdS/CFT su(2|2) Yangian,"Fabian Spill, Alessandro Torrielli"
First Lattice Study of the $N$-$P_{11}(1440)$ Transition Form Factors,"Huey-Wen Lin, Saul D. Cohen, Robert G. Edwards, David G. Richards"
Dirichlet boundary value problem for Chern-Simons modified gravity,"D. Grumiller, R. Mann, R. McNees"
Signs of analyticity in fermion scattering,"Allan Adams, Alejandro Jenkins, Donal O'Connell"
Viscosity Bound and Causality Violation,"Mauro Brigante, Hong Liu, Robert C. Myers, Stephen Shenker, Sho Yaida"
Topologically massive gravity and complex Chern-Simons terms,"D. Grumiller, R. Jackiw"
The Exact String Black-Hole behind the hadronic Rindler horizon?,"P. Castorina, D. Grumiller, A. Iorio"
Gravitational Instability of Shocked Interstellar Gas Layers,"Kazunari Iwasaki, Toru Tsuribe"
The final phase of inspiral of strange quark star binaries,"Dorota Gondek-Rosinska, Francois Limousin"
Crossing symmetry and phenomenological widths in effective Lagrangian models of the pion photoproduction process,"C. Fernandez-Ramirez, E. Moya de Guerra, J. M. Udias"
A consistent thermodynamic treatment for quark mass density-dependent model,"Shaoyu Yin, Ru-Keng Su"
Dynamical Mean Field Theory equations on nearly real frequency axis,"M. B. Fathi, S. A. Jafari"
Surface effects in color superconducting strange-quark matter,"Micaela Oertel, Michael Urban"
Velocity Dependence of Baryon Screening in a Hot Strongly Coupled Plasma,"Christiana Athanasiou, Hong Liu, Krishna Rajagopal"
Two-loop Jet-Function and Jet-Mass for Top Quarks,"Ambar Jain, Ignazio Scimemi, Iain W. Stewart"
Unexpectedly small empirical vector strangeness of nucleons realized in a baryon model,"D. Horvatic, D. Klabucar, D. Mekterovic"
Liouville gravity from Einstein gravity,"D. Grumiller, R. Jackiw"
Optimal eigenvalue estimate for the Dirac-Witten operator on bounded domains with smooth boundary,Daniel Maerten
Emergence of Oscillons in an Expanding Background,"E. Farhi, N. Graham, A. H. Guth, N. Iqbal, R. R. Rosales, N. Stamatopoulos"
Electron fractionalization for two-dimensional Dirac fermions,"Claudio Chamon, Chang-Yu Hou, Roman Jackiw, Christopher Mudry, So-Young Pi, Gordon Semenoff"
Locality and low-dimensions in the prediction of natural experience from fMRI,"Francois G. Meyer, Greg J. Stephens"
"Analysis based on the Wavelet & Hilbert transforms applied to the full time series of interbeats, for a triad of failures at the heart",P. A. Ritto
Indications for sharp continuous phase transitions at finite temperatures connected with the apparent metal-insulator transition in two-dimensional disordered systems,A. Mobius
Viscosity Bound Violation in Higher Derivative Gravity,"Mauro Brigante, Hong Liu, Robert C. Myers, Stephen Shenker, Sho Yaida"
Linear b-Gauges for Open String Fields,"Michael Kiermaier, Ashoke Sen, Barton Zwiebach"
A limiting velocity for quarkonium propagation in a strongly coupled plasma via AdS/CFT,"Qudsia J. Ejaz, Thomas Faulkner, Hong Liu, Krishna Rajagopal, Urs Achim Wiedemann"
Transverse-momentum-dependent parton distribution function in soft-collinear effective theory,Junegone Chay
Path integral for half-binding potentials as quantum mechanical analog for black hole partition functions,Daniel Grumiller
Hyperon-Quark Mixed Phase in Dense Matter,"Toshiki Maruyama, Satoshi Chiba, Hans-Josef Schulze, Toshitaka Tatsumi"
Hyperon-Quark Mixed Phase in Compact Stars,"Toshiki Maruyama, Satoshi Chiba, Hans-Josef Schulze, Toshitaka Tatsumi"
LIGO: The Laser Interferometer Gravitational-Wave Observatory,"The LIGO Scientific Collaboration, B. Abbott"
Possible complex annihilation and B -> K pi direct CP asymmetry,"Junegone Chay, Hsiang-nan Li, Satoshi Mishima"
Inflationary Constraints on Type IIA String Theory,"Mark P. Hertzberg, Shamit Kachru, Washington Taylor, Max Tegmark"
Top Jets in the Peak Region: Factorization Analysis with NLL Resummation,"Sean Fleming, Andre H. Hoang, Sonny Mantry, Iain W. Stewart"
How do Black Holes Spin in Chern-Simons Modified Gravity?,"Daniel Grumiller, Nicolas Yunes"
Challenges to Path Integral Formulations of Quantum Theories,R. Jackiw
Quantum Resonant Leptogenesis and Minimal Lepton Flavour Violation,"Vincenzo Cirigliano, Andrea De Simone, Gino Isidori, Isabella Masina, Antonio Riotto"
Finite Temperature Sum Rules in Lattice Gauge Theory,Harvey B. Meyer
Einstein-Weyl from Kaluza-Klein,"D. Grumiller, R. Jackiw"
The nucleon to Delta electromagnetic transition form factors in lattice QCD,"C. Alexandrou, G. Koutsou, H. Neff, J. W. Negele, W. Schroers, A. Tsapalis"
Factorization Approach for Top Mass Reconstruction at High Energies,"Sean Fleming, Andre H. Hoang, Sonny Mantry, Iain W. Stewart"
Black Hole Thermodynamics and Hamilton-Jacobi Counterterm,"Luzi Bergamin, Daniel Grumiller, Robert McNees, Rene Meyer"
A calculation of the bulk viscosity in SU(3) gluodynamics,Harvey B. Meyer
Casimir Forces between Compact Objects: I. The Scalar Case,"T. Emig, N. Graham, R. L. Jaffe, M. Kardar"
Preparing for N_f=2 simulations at small lattice spacings,"M. Della Morte, P. Fritzsch, B. Leder, S. Takeda, O. Witzel, U. Wolff, H. Meyer, H. Simma, R. Sommer"
Exploiting soliton decay and phase fluctuations in atom chip interferometry of Bose-Einstein condensates,"R. G. Scott, T. E. Judd, T. M. Fromhold"
Towards a non-perturbative matching of HQET and QCD with dynamical light quarks,"Michele Della Morte, Patrick Fritzsch, Jochen Heitger, Harvey B. Meyer, Hubert Simma, Rainer Sommer"
The B-meson mass splitting from non-perturbative quenched lattice QCD,"A. G. Grozin, D. Guazzini, P. Marquard, H. B. Meyer, J. H. Piclum, R. Sommer, M. Steinhauser"
Oscillatory terms in the domain wall transfer matrix,"Sergey Syritsyn, John W. Negele"
The Glue Content of the Pion,"Harvey B. Meyer, John W. Negele"
Metal-insulator transition in half-filling two-orbital Hubbard model on triangular lattice,"Feng Lu, Wei-Hua Wang, Liang-Jian Zou"
Designing Gapped Soft Functions for Jet Production,"Andre H. Hoang, Iain W. Stewart"
Phase Transitions and the Perfectness of Fluids,"Jiunn-Wei Chen, Mei Huang, Yen-Han Li, Eiji Nakano, Di-Lun Yang"
Simulated Annealing: Rigorous finite-time guarantees for optimization on continuous domains,"A. Lecchini-Visintini, J. Lygeros, J. Maciejowski"
Lorentz Violation in a Diffeomorphism-Invariant Theory,R. Jackiw
Divergence of effective mass in 'Uncorrelated State Percolation' Model,"Seyyed Mahdi Fazeli, Keivan Esfarjani"
Supersymmetric version of a Gaussian irrotational compressible fluid flow,"A. M. Grundland, A. J. Hariton"
Effects of a Fluctuating Interface between a Superfluid and a Polarized Fermi Gas,"Hui Zhai, Dung-Hai Lee"
Searching for Inflation in Simple String Theory Models: An Astrophysical Perspective,"Mark P. Hertzberg, Max Tegmark, Shamit Kachru, Jessie Shelton, Onur Ozcan"
Fundamental Constants,Frank Wilczek
Anticipating a New Golden Age,Frank Wilczek
Dimensional Reduction of Conformal Tensors and Einstein-Weyl Spaces,Roman Jackiw
General marginal deformations in open superstring field theory,"Michael Kiermaier, Yuji Okawa"
Hadron-quark mixed phase in hyperon stars,"Toshiki Maruyama, Satoshi Chiba, Hans-Josef Schulze, Toshitaka Tatsumi"
Aging Effects Across the Metal-Insulator Transition in Two Dimensions,"J. Jaroszynski, Dragana Popovic"
Simulation Results for U(1) Gauge Theory on Non-Commutative Spaces,"Wolfgang Bietenholz, Antonio Bigarini, Jun Nishimura, Yoshiaki Susaki, Alessandro Torrielli, Jan Volkholz"
A Secret Symmetry of the AdS/CFT S-matrix,"Takuya Matsumoto, Sanefumi Moriyama, Alessandro Torrielli"
Neutrino flavor ratios as diagnostic of solar WIMP annihilation,"Ralf Lehnert, Thomas J. Weiler"
Surface versus bulk characterization of the electronic inhomogeneity in a VO_{2} film,"Y. J. Chang, J. S. Yang, Y. S. Kim, D. H. Kim, T. W. Noh, D. -W. Kim, E. OH, B. Kahng, J. -S. Chung"
Exact marginality in open string field theory: a general framework,"Michael Kiermaier, Yuji Okawa"
The Equation of State of Dense Matter : from Nuclear Collisions to Neutron Stars,Fiorella Burgio
Haptic Manipulation of Microspheres Using Optical Tweezers Under the Guidance of Artificial Force Fields,"Ibrahim Bukusoglu, Cagatay Basdogan, Alper Kiraz, Adnan Kurt"
Gluon contributions to the pion mass and light cone momentum fraction,"Harvey B. Meyer, John W. Negele"
Radio Frequency Spectroscopy of Trapped Fermi Gases with Population Imbalance,"Yan He, Chih-Chun Chien, Qijin Chen, K. Levin"
Kinetic description of hadron-hadron collisions,"Zhi Guang Tan, S. Terranova, A. Bonasera"
Dimers and Orientifolds,"Sebastian Franco, Amihay Hanany, Daniel Krefl, Jaemo Park, Angel M. Uranga, David Vegh"
Poisson-sigma model for 2D gravity with non-metricity,"M. Adak, D. Grumiller"
Penguin Loops for Nonleptonic B-Decays in the Standard Model: Is there a Penguin Puzzle?,"Ambar Jain, Ira Z. Rothstein, Iain W. Stewart"
Role of homeostasis in learning sparse representations,Laurent Perrinet
Neutrino Backgrounds to Dark Matter Searches,"Jocelyn Monroe, Peter Fisher"
Axial Nucleon and Nucleon to Delta form fractors and the Goldberger-Treiman Relations from Lattice QCD,"C. Alexandrou, G. Koutsou, Th. Leontiou, J. W. Negele, A. Tsapalis"
Breakdown of the Thomas Fermi approximation for polarized Fermi gases,"Rajdeep Sensarma, William Schneider, Roberto B. Diener, Mohit Randeria"
A Yangian Double for the AdS/CFT Classical r-matrix,"Sanefumi Moriyama, Alessandro Torrielli"
Non extensive statistic of Tsallis in the heartbeat of healthy humans,P. A. Ritto
Area-preserving diffeomorphisms in gauge theory on a non-commutative plane: a lattice study,"Wolfgang Bietenholz, Antonio Bigarini, Alessandro Torrielli"
Self-doping instability of the Wigner-Mott insulator,"S. Pankov, V. Dobrosavljevic"
Counting Chiral Operators in Quiver Gauge Theories,"Agostino Butti, Davide Forcella, Amihay Hanany, David Vegh, Alberto Zaffaroni"
On Resonant Leptogenesis,"Andrea De Simone, Antonio Riotto"
Non-perturbative renormalization of the chromo-magnetic operator in Heavy Quark Effective Theory and the B* - B mass splitting,"Damiano Guazzini, Harvey B. Meyer, Rainer Sommer"
"Drinfeld second realization of the quantum affine superalgebras of $D^{(1)}(2,1;x)$ via the Weyl groupoid","I. Heckenberger, F. Spill, A. Torrielli, H. Yamane"
Dimensional Duality,"Daniel Green, Albion Lawrence, John McGreevy, David R. Morrison, Eva Silverstein"
Casimir Forces in a Piston Geometry at Zero and Finite Temperatures,"M. P. Hertzberg, R. L. Jaffe, M. Kardar, A. Scardicchio"
"Magnetotransport properties of strained (Ga0.95, Mn0.05)As epilayers close to the metal-insulator transition: Description using Aronov-Altshuler three-dimensional scaling theory","J. Honolka, S. Masmanidis, H. X. Tang, D. D. Awschalom, M. L. Roukes"
Teaching for transfer,Sanjoy Mahajan
A calculation of the shear viscosity in SU(3) gluodynamics,Harvey B. Meyer
Shell-mediated tunnelling between (anti-)de Sitter vacua,"Stefano Ansoldi, Lorenzo Sindoni"
2D-MITas self-doping of a Wigner-Mott insulator,"S. Pankov, V. Dobrosavljevic"
Green functions for the Dirac operator under local boundary conditions and applications,Simon Raulot
Thermodynamics of Black Holes in Two (and Higher) Dimensions,"Daniel Grumiller, Robert McNees"
Conformal Field Theory and the Reid Conjecture,Allan Adams
Jets from Massive Unstable Particles: Top-Mass Determination,"Sean Fleming, Andre H. Hoang, Sonny Mantry, Iain W. Stewart"
Quantum Boltzmann Equations and Leptogenesis,"Andrea De Simone, Antonio Riotto"
"Quantum-gravity phenomenology, Lorentz symmetry, and the SME",Ralf Lehnert
"Steric quenching of the switchable mirror effect Phys. Rev. B 75, 104109 (2007)","Troy C. Messina, Casey W. Miller, John T. Markert"
A Quantum Algorithm for the Hamiltonian NAND Tree,"E. Farhi, J. Goldstone, S. Gutmann"
Quark deconfinement transition in hyperonic matter,"Toshiki Maruyama, Satoshi Chiba, Hans-Josef Schulze, Toshitaka Tatsumi"
Eternal inflation and its implications,Alan H. Guth
Phases of Five-Dimensional Black Holes,"Henriette Elvang, Roberto Emparan, Pau Figueras"
Heavy ion collisions and AdS/CFT,Hong Liu
The rigidity of crystalline color superconducting quark matter,"Massimo Mannarelli, Krishna Rajagopal, Rishi Sharma"
Papapetrou Energy-Momentum Tensor for Chern-Simons Modified Gravity,"David Guarrera, A. J. Hariton"
Hierarchical Unambiguity,"Holger Spakowski, Rahul Tripathi"
Probing Dark Matter Substructure with Pulsar Timing,"E. R. Siegel, M. P. Hertzberg, J. N. Fry"
Hybrid protoneutron stars within a static approach,O. E. Nicotra
Effects of QCD phase transition on gravitational radiation from two-dimensional collapse and bounce of massive stars,"Nobutoshi Yasutake, Kei Kotake, Masa-aki Hashimoto, Shoichi Yamada"
A Statistical Study of Galactic SNRs using the PMN Survey,"M. Stupar, M. D. Filipovic, Q. A. Parker, G. L. White, T. G. Pannuti, P. A. Jones"
Classical r-matrix of the su(2|2) SYM spin-chain,Alessandro Torrielli
Analytic Solutions for Marginal Deformations in Open String Field Theory,"Michael Kiermaier, Yuji Okawa, Leonardo Rastelli, Barton Zwiebach"
Hagedorn divergences and tachyon potential,"Mauro Brigante, Guido Festuccia, Hong Liu"
Effective degrees of freedom and gluon condensation in the high temperature deconfined phase,"Paolo Castorina, Massimo Mannarelli"
"Vacuum Energy, EoS, and the Gluon Condensate at Finite Baryon Density in QCD",Ariel Zhitnitsky
Ordinary and Extraordinary Hadrons,R. L. Jaffe
Quantum gravity and spacetime symmetries,Ralf Lehnert
Chiral Gauge Theory for Graphene,"R. Jackiw, S. -Y. Pi"
Electrodynamics near the Metal-to-Insulator Transition in V3O5,"L. Baldassarre, A. Perucchi, E. Arcangeletti, D. Nicoletti, D. Di Castro, P. Postorino, V. A. Sidorov, S. Lupi"
Cofibrance and Completion,Andrei Radulescu-Banu
"Eternal inflation, bubble collisions, and the persistence of memory","Jaume Garriga, Alan H. Guth, Alexander Vilenkin"
Spacetime symmetries of the Lorentz-violating Maxwell-Chern-Simons model,"A. J. Hariton, Ralf Lehnert"
New Dimensions for Wound Strings: The Modular Transformation of Geometry to Topology,"John McGreevy, Eva Silverstein, David Starr"
Polarized Gluon Distribution Delta g(x) in the Proton,"Panying Chen, Xiangdong Ji"
Wilson loops in heavy ion collisions and their calculation in AdS/CFT,"Hong Liu, Krishna Rajagopal, Urs Achim Wiedemann"
Extracting short distance information from b -> s l+ l- effectively,"Keith S. M. Lee, Zoltan Ligeti, Iain W. Stewart, Frank J. Tackmann"
Nucleon Electromagnetic Form Factors,"C. F. Perdrisat, V. Punjabi, M. Vanderhaeghen"
Critical behavior of transport and magnetotransport in 2D electron system in Si in the vicinity of the metal-insulator transition,"D. A. Knyazev, O. E. Omelyanovskii, V. M. Pudalov, I. S. Burmistrov"
Density-density correlation and interference mechanism for two initially independent Bose-Einstein condensates,"Shujuan Liu, Hongwei Xiong"
Charge Gap in the One-Dimensional Extended Hubbard Model at Quarter Filling,"K. Sano, Y. Ono"
Mean Field Effects In The Quark-Gluon Plasma,"Zhi Guang Tan, A. Bonasera"
Phase transition and properties of compact star,"B. K. Sharma, P. K. Panda, S. K. Patra"
On LCSFT/MST Correspondence,"Isao Kishimoto, Sanefumi Moriyama"
"The arrow of time, black holes, and quantum mixing of large N Yang-Mills theories","Guido Festuccia, Hong Liu"
Inconsistencies in theMITbag model of hadrons,B. H. Lavenda
Linear Models for Flux Vacua,"Allan Adams, Morten Ernebjerg, Joshua M. Lapan"
On the Impact of Flavour Oscillations in Leptogenesis,"Andrea De Simone, Antonio Riotto"
Three-Parton Contributions to B --> M_1 M_2 Annihilation at Leading Order,"Christian M. Arnesen, Ira Z. Rothstein, Iain W. Stewart"
